feature1,feature2,feature3,feature4,target
2.5,1.8,3.2,0.8,setosa
1.9,2.1,2.8,1.2,versicolor
3.1,1.5,4.1,0.9,setosa
2.2,2.4,3.5,1.4,versicolor
2.8,1.7,3.8,0.7,setosa
2.0,2.3,3.1,1.3,versicolor
3.2,1.6,4.2,0.8,setosa
2.1,2.5,3.3,1.5,versicolor
2.9,1.4,3.9,0.6,setosa
1.8,2.6,2.9,1.6,versicolor
3.0,1.8,4.0,0.9,setosa
2.3,2.2,3.4,1.1,versicolor
2.7,1.9,3.7,1.0,setosa
2.4,2.0,3.6,1.2,versicolor
3.3,1.3,4.3,0.7,setosa
1.7,2.7,2.7,1.7,versicolor
2.6,2.1,3.5,1.3,setosa
2.5,1.6,3.8,0.8,versicolor
3.4,1.2,4.4,0.6,setosa
1.6,2.8,2.6,1.8,versicolor
